avg: 124.5,  wins: 0,  times: 1.37, 
100.0,  0,  3.55, 
104.0,  0,  2.22, 
99.0,  1,  4.25, 
165.0,  0,  2.42, 
162.5,  0,  79.06, 
106.5,  0,  1.69, 
103.0,  0,  24.63, 
101.0,  0,  25.97, 
102.0,  0,  0.06, 
115.0,  0,  0.04, 
101.5,  0,  0.13, 
100.5,  0,  0.30, 
100.5,  0,  0.58, 
105.0,  0,  0.08, 
104.0,  0,  0.18, 
104.0,  0,  0.36, 
,  ,  , 
