,Cost,Time
DasGupta,198,54.01
Spectral,254,0.4199
PAST,249,1.37
PASTA-flip,200,3.55
PASTA-toss,208,2.22
PASTA-flip+toss,198,4.25
PTAS-10,330,2.42
PTAS-15,325,79.06
LocalSearch,213,1.69
PASTA-toss-rand,206,24.63
PASTA-flip-rand,202,25.97
PASTA-flip-cover,204,0.06
PASTA-toss-cover,230,0.04
PASTA-flip-10,203,0.13
PASTA-flip-25,201,0.3
PASTA-flip-50,201,0.58
PASTA-toss-10,210,0.08
PASTA-toss-25,208,0.18
PASTA-toss-50,208,0.36
