avg: 354.13,  wins: 0,  times: 29.16, 
263.81,  0,  80.60, 
267.49,  1,  54.82, 
261.5,  85,  99.62, 
409.1,  0,  102.97, 
383.52,  0,  3407.03, 
272.92,  0,  48.03, 
273.39,  0,  156.15, 
280.76,  0,  171.38, 
285.36,  0,  2.82, 
286.91,  0,  1.98, 
271.11,  0,  4.50, 
268.73,  0,  10.61, 
266.71,  0,  20.80, 
278.15,  0,  3.14, 
274.04,  0,  7.20, 
271.8,  0,  14.00, 
,  ,  , 
