order_by_indegree, eades, eades_imp, insertionsort, bubblesort, mergesort, quicksort, triangle_both_el, degree_difference, degree_difference_approx, degree_difference_approx_v2, moves, moves-insert, 
1732.00000,1755.00000,1743.00000,1740.00000,1765.00000,1777.00000,1756.00000,1733.00000,1751.00000,1740.00000,1741.00000,1739.00000,1753.00000,
1774.00000,1764.00000,1769.00000,1772.00000,1774.00000,1785.00000,1779.00000,1768.00000,1771.00000,1771.00000,1764.00000,1766.00000,1764.00000,

3506.000000, 3519.000000, 3512.000000, 3512.000000, 3539.000000, 3562.000000, 3535.000000, 3501.000000, 3522.000000, 3511.000000, 3505.000000, 3505.000000, 3517.000000,
1753.000000, 1759.500000, 1756.000000, 1756.000000, 1769.500000, 1781.000000, 1767.500000, 1750.500000, 1761.000000, 1755.500000, 1752.500000, 1752.500000, 1758.500000,
