avg: 2339.84,  wins: 0,  times: 4.54, 
2106.7,  0,  20.77, 
2106.07,  0,  8.54, 
2106.14,  2,  23.18, 
2259.11,  0,  31.45, 
2216.74,  0,  1052.27, 
2106.61,  5,  6.91, 
2106.43,  4,  7.82, 
2170.84,  0,  30.40, 
2152.94,  0,  12.52, 
2108.43,  1,  3.99, 
2115.16,  0,  2.20, 
2110.52,  0,  5.30, 
2108.32,  0,  10.49, 
2113.2,  0,  0.96, 
2108.97,  0,  2.22, 
2107.1,  0,  4.32, 
,  ,  , 
